Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score,Month_August,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Occupation_Architect,Occupation_Developer,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Journalist,Occupation_Lawyer,Occupation_Manager,Occupation_Mechanic,Occupation_Media_Manager,Occupation_Musician,Occupation_Scientist,Occupation_Teacher,Occupation_Writer,Occupation________,Payment_of_Min_Amount_No,Payment_of_Min_Amount_Yes,Payment_Behaviour_High_spent_Large_value_payments,Payment_Behaviour_High_spent_Medium_value_payments,Payment_Behaviour_High_spent_Small_value_payments,Payment_Behaviour_Low_spent_Large_value_payments,Payment_Behaviour_Low_spent_Medium_value_payments,Payment_Behaviour_Low_spent_Small_value_payments
53,183950.20435947456,11633.849644291346,3,2,8.479439701976581,0,0,4723.143352058255,1,1682.0801557918862,15.361345370374966,80,711.4296437750148,887.8422615759323,2350.4030504871266,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
39,157876.70360779692,13763.215446106993,3,1,8.517234430609733,1,1,941.5342603608306,1,9891.816797129466,7.369394004017202,211,1190.169386160236,2418.3266650119117,8494.284987758572,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
32,137748.91004087328,4804.7792713593635,2,3,9.67955313835019,1,1,1934.779715160329,2,6212.081050965577,22.59946849902786,41,1247.0215617799947,4080.331001434547,6002.832824825748,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
45,153389.24531989323,7652.898339922482,4,1,14.459285523714577,2,0,2304.420374123223,2,8212.221110483724,24.10117868806566,61,20.928901799400602,1141.0931792517297,4844.12230751354,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
43,190866.38310990334,8569.329526689831,3,1,14.360181205887649,1,1,2393.9286952836255,1,7855.15418778504,7.631893889746542,182,1377.3318885473525,1012.4002894252598,3370.772606326433,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
47,87499.81028357477,6571.965537098563,2,3,10.451616613088994,1,2,815.0924835470487,1,1072.2978570180342,16.396821725311575,213,582.6398022157216,2623.4764239946367,3801.2858005340277,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
35,130268.07615101074,11704.397377793328,5,1,9.559597979950487,0,0,-933.5481113058561,1,3426.277520035436,17.032029246843564,206,361.224639637743,2860.0960570177717,8365.914756285954,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
35,153441.20285006118,13949.265752269683,3,2,13.08161152568603,2,2,-1506.8789400504184,0,4584.1753697321155,10.862752150090298,114,1494.0248773977485,2809.806752626237,8911.594872817324,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
48,151887.0501986412,7949.786391231316,3,2,11.809291569366149,1,2,4341.918711212103,2,2600.629832274185,24.979290135025252,58,183.79156526628492,2764.0491080511156,9704.418745239353,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
48,87841.84393652546,14298.503575175599,3,3,13.815634021211409,1,2,565.8572321457677,2,6823.926742706911,18.268821889411885,156,481.5747662262051,4504.252955154101,3172.1874255557436,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
